0,0,0
0,0,0
0,0,0
0,11,0
0,65,0
0,111,0
0,164,0
0,261,0
0,308,7
0,431,0
0,537,0
0,682,0
0,846,1
0,912,0
0,1074,0
0,1350,0
0,1480,0
0,1681,0
0,1621,0
0,2064,0
0,1835,0
0,2048,0
0,1989,0
0,1911,0
0,2258,0
0,2129,0
0,1748,0
0,1776,0
0,1850,0
0,1687,0
0,1605,0
0,1661,0
0,1355,0
0,1360,0
0,1189,0
0,1278,0
0,1062,0
0,1027,0
0,1052,0
0,1084,0
0,1013,0
0,1026,3
0,915,2
0,926,7
0,1029,14
0,1013,24
0,1023,46
0,875,67
0,1110,108
0,1057,137
0,862,254
0,1120,347
0,927,483
0,1073,626
1,1069,785
0,1004,1135
1,1275,1262
1,1274,1631
1,1129,1756
8,1266,2201
6,1495,2355
10,1548,2514
9,1591,2767
20,2046,2943
37,1706,2958
32,1998,2921
41,1704,2876
53,2022,2907
74,1705,2869
103,1800,2873
132,1674,2899
179,1766,3043
193,1593,2919
242,1711,3041
238,1474,3107
336,1491,3238
386,1566,3224
404,1456,3140
483,1445,3218
607,1524,3189
628,1371,3004
771,1545,3030
785,1278,3078
1001,1606,3008
1016,1364,2787
1177,1475,2834
1269,1513,2960
1332,1537,2962
1446,1813,2940
1487,1863,2911
1457,1681,2949
1574,1885,3107
1585,2170,2983
1591,1907,2922
1557,2008,3045
1569,1948,3017
1660,2325,2738
1648,2094,2826
1420,1713,2700
1559,2084,2818
1418,1670,2710
1384,1811,2618
1319,1720,2559
1342,1743,2777
1156,1603,2611
1120,1693,2643
955,1386,2597
969,1515,2582
828,1639,2622
782,1542,2560
752,1588,2538
737,1540,2558
719,1784,2531
700,1751,2517
628,1425,2660
673,1836,2641
587,1604,2756
617,1565,2867
610,1581,2872
592,1507,3066
557,1762,2912
593,1769,3011
552,1448,2813
566,1654,2909
582,1872,2780
559,1914,2745
571,1844,2527
520,2103,2097
664,1925,2202
650,2023,1984
618,1811,1854
730,2206,1756
594,1907,1499
667,1968,1331
675,2026,1237
685,2096,1146
771,2032,1027
715,2029,1015
667,1730,874
740,1607,905
744,1666,839
766,1454,866
765,1341,808
772,1354,849
817,1247,801
817,1213,870
744,942,791
806,1152,801
760,931,796
777,1080,770
812,981,757
797,904,889
799,1006,838
861,1003,863
814,814,914
910,779,868
907,848,844
918,817,880
888,756,967
1011,828,972
879,690,837
996,696,924
912,579,901
952,622,924
884,514,830
1074,528,809
977,499,819
1073,506,897
1040,450,797
1216,504,802
1250,414,797
1403,483,784
1534,504,746
1639,473,721
1682,474,725
1776,452,673
1874,621,674
1769,587,629
1582,512,633
1743,611,641
1441,652,632
1477,723,652
1483,645,580
1409,656,599
1437,850,575
1449,777,583
1389,720,580
1479,719,511
1592,812,525
1655,741,471
1657,646,421
1666,703,393
1857,778,297
1896,767,330
1813,611,274
1979,800,219
1814,699,191
1956,795,183
1928,781,166
2055,830,152
2012,816,109
2303,912,108
2333,843,75
2670,851,91
2787,847,67
3232,788,67
3154,687,61
3476,700,56
3424,573,37
3516,499,30
3102,377,27
3176,388,23
2787,288,19
2885,294,24
2630,241,18
2731,201,8
2664,168,7
2955,167,4
2955,125,2
3360,114,1
3554,102,0
4138,108,0
3987,68,0
4057,57,3
4327,54,1
3713,49,1
3185,16,0
2929,18,0
2551,10,0
2432,7,0
2195,5,0
2256,9,0
1960,2,0
2126,1,0
2186,1,0
2265,0,0
2417,2,0
2445,0,0
2282,0,0
1826,0,0
1972,0,0
1456,0,0
1137,1,0
986,0,0
748,0,0
749,2,0
667,0,0
582,0,0
428,1,0
357,0,0
313,0,0
302,0,0
242,0,0
178,0,0
67,0,0
112,0,0
